Product Name,Category,Cost Price,Selling Price,Quantity,Expiry Date (YYYY-MM-DD),Reorder Level
COUNTRY ROAD ROLL ON,ROLL ON,,12.00,9,,
MY DOLLAR ROLL ON,ROLL ON,,12.00,3,,
TOUCH,Uncategorized,,9.00,12,,
YURI SPRAY,SPRAY,,14.00,10,,
SPALDING SPRAY,SPRAY,,14.00,9,,
MALIZIA DEO SPRAY S/S,SPRAY,,40.00,4,,
MALIZIA DEO SPRAY B/S,SPRAY,,44.00,2,,
"OPHYLIA, AVENTOS AND ZARA MAN TIN",Uncategorized,,35.00,3,,
HOTICE,Uncategorized,,28.00,2,,
DEO SPRAY,SPRAY,,28.00,10,,
RIGGS LONDON DEO SPRAY,SPRAY,,40.00,1,,
MONOGOTASMORA SPRAY,SPRAY,,28.00,4,,
BE TRES SPRAY,SPRAY,,28.00,4,,
DEAR BODY SPRAY,SPRAY,,18.00,1,,
BARAKAT SPRAY B/S,SPRAY,,150.00,1,,
OPHELIA SPRAY S/S,SPRAY,,35.00,1,,
PROFESSIONAL SPRAY,SPRAY,,20.00,5,,
ELEMENT SPRAY S/S,SPRAY,,30.00,11,,
ELEMENT SPRAY B/S,SPRAY,,45.00,11,,
DEAL SPRAY,SPRAY,,75.00,1,,
INDOMPTABLE SPRAY,SPRAY,,38.00,3,,
RICH SPRAY,SPRAY,,70.00,1,,
GENTLEMAN SPRAY,SPRAY,,40.00,5,,
EMERGENCY SPRAY,SPRAY,,35.00,3,,
MISTER PERFECT SPRAY,SPRAY,,65.00,4,,
MR N MRS PERFECT SPRAY,SPRAY,,65.00,7,,
MIYAKE SPRAY,SPRAY,,60.00,1,,
GLOBAL MAN SPRAY,SPRAY,,70.00,1,,
SALVANG,Uncategorized,,70.00,1,,
DAGMAR SPRAY B/S,SPRAY,,85.00,1,,
SMART SPRAY,SPRAY,,75.00,2,,
SMART BLACK SPRAY,SPRAY,,140.00,2,,
MOUSUF SPRAY,SPRAY,,190.00,2,,
BELIEVE SPRAY,SPRAY,,130.00,0,,
MATELOT SPRAY,SPRAY,,150.00,8,,
DAMA DE ORO SPRAY,SPRAY,,65.00,1,,
CHOCHO SOAP,SOAP,,10.00,4,,
CHOCHO CR,CREAM,,18.00,0,,
NANO FACE CR,CREAM,,18.00,2,,
ABONIKI,Uncategorized,,9.00,4,,
NOMARKS FACE CR,CREAM,,40.00,1,,
MAKE ME WHITE FACE CR,CREAM,,40.00,2,,
PARLEY FACE CR,CREAM,,60.00,3,,
X5 GOLD FACE CR,CREAM,,40.00,0,,
KOJIC CLEAN FACE CR,CREAM,,35.00,1,,
VETGOLD FACE CR,CREAM,,40.00,1,,
BABY FACE CR,CREAM,,45.00,0,,
